価格,占有面積,所在地,バルコニー,沿線・駅,間取り,築年月,地下鉄,市電,ＪＲ,徒歩,バス,停歩
1180,58.32,北海道札幌市中央区北五条西１６,7.59,ＪＲ函館本線「桑園」徒歩9分,2LDK,1986/8,0,0,1,9,,,
1180,61.8,北海道札幌市豊平区旭町６,6.8,地下鉄東豊線「学園前」徒歩9分,2LDK,1974/11,1,0,0,9,,,
1180,45.03,北海道札幌市中央区北四条西１２,7.35,地下鉄東西線「西１１丁目」徒歩10分,2DK,1985/2,1,0,0,10,,,
1180,62.22,北海道札幌市中央区南六条西２６,-,地下鉄東西線「円山公園」徒歩12分,2LDK,1973/12,1,0,0,12,,,
1180,61.8,北海道札幌市豊平区旭町６,6.8,地下鉄東豊線「学園前」徒歩9分,2LDK,1974/11,1,0,0,9,,,
1180,75.22,北海道札幌市北区北二十一条西８-2番20,7.56,地下鉄南北線「北２４条」徒歩11分,3LDK,1973/,1,0,0,11,,,
1180,58.32,北海道札幌市中央区北五条西１６,7.59,ＪＲ函館本線「桑園」徒歩9分,2LDK,1986/8,0,0,1,9,,,
1190,72.21,北海道札幌市西区宮の沢三条５,10.4,地下鉄東西線「宮の沢」徒歩17分,3LDK,1995/7,1,0,0,17,,,
1190,72.21,北海道札幌市西区宮の沢三条５,10.4,ＪＲバス「宮の沢3条4丁目」徒歩1分,3LDK,1995/7,0,0,1,1,,,
1190,72.21,北海道札幌市西区宮の沢三条５,10.4,地下鉄東西線「宮の沢」徒歩17分,3LDK,1995/7,1,0,0,17,,,
1190,72.21,北海道札幌市西区宮の沢三条５-2-1,10.4,地下鉄東西線「宮の沢」徒歩17分,3LDK,1995/7,1,0,0,17,,,
1190,72.21,北海道札幌市西区宮の沢三条５-2-1,10.4,地下鉄東西線「宮の沢」徒歩17分,3LDK,1995/7,1,0,0,17,,,
1190,51.7,北海道札幌市中央区大通西１８,3.68,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1979/12,1,0,0,2,,,
1190,51.7,北海道札幌市中央区大通西１８,3.68,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1979/12,1,0,0,2,,,
1190,81.9,北海道札幌市中央区円山西町１,8.73,地下鉄東西線「円山公園」徒歩23分,3LDK+S（納戸）,1982/11,1,0,0,23,,,
1190,51.7,北海道札幌市中央区大通西１８-１－４５,3.68,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1979/12,1,0,0,2,,,
1190,72.21,北海道札幌市西区宮の沢三条５,10.4,地下鉄東西線「宮の沢」徒歩17分,3LDK,1995/7,1,0,0,17,,,
1190,51.7,北海道札幌市中央区大通西１８,3.68,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1979/12,1,0,0,2,,,
1190,72.73,北海道札幌市西区宮の沢三条５,7.61,地下鉄東西線「宮の沢」徒歩28分,2LDK,1993/2,1,0,0,28,,,
1190,46.35,北海道札幌市中央区大通西１９,21.57,地下鉄東西線「西１８丁目」徒歩1分,2DK,1986/6,1,0,0,1,,,
1190,72.21,北海道札幌市西区宮の沢三条５,10.4,地下鉄東西線「宮の沢」バス10分停歩1分,3LDK,1995/7,1,0,0,,10,1,
1190,72.21,北海道札幌市西区宮の沢三条５,10.4,地下鉄東西線「宮の沢」バス10分停歩1分,3LDK,1995/7,1,0,0,,10,1,
1190,51.7,北海道札幌市中央区大通西１８,3.68,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1979/12,1,0,0,2,,,
1190,60.06,北海道札幌市中央区北六条西２５,7.34,地下鉄東西線「西２８丁目」徒歩5分,2LDK,1980/6,1,0,0,5,,,
1190,72.21,北海道札幌市西区宮の沢三条５,10.4,地下鉄東西線「宮の沢」徒歩17分,3LDK,1995/7,1,0,0,17,,,
1190,72.21,北海道札幌市西区宮の沢三条５,10.4,地下鉄東西線「宮の沢」徒歩17分,3LDK,1995/7,1,0,0,17,,,
1190,72.21,北海道札幌市西区宮の沢三条５,10.4,JRバス「宮の沢3条4丁目」徒歩1分,3LDK,1995/7,0,0,0,1,,,
1190,94.23,北海道札幌市手稲区前田五条８,9.28,ＪＲ函館本線「稲積公園」徒歩17分,4LDK,1989/11,0,0,1,17,,,
1198,90.88,北海道札幌市手稲区曙二条３,15.7,ＪＲ函館本線「稲穂」徒歩16分,3LDK,1996/12,0,0,1,16,,,
1198,78.12,北海道札幌市西区宮の沢三条３-１２番１号,5.4,地下鉄東西線「宮の沢」徒歩17分,2LDK,1988/12,1,0,0,17,,,
1198,78.48,北海道札幌市中央区南八条西８-5-15,4.94,札幌市電「山鼻９条」徒歩2分,2LDK,1974/10,0,1,0,2,,,
1198,68.62,北海道札幌市西区山の手二条７-2-1,7.25,地下鉄東西線「西２８丁目」徒歩24分,3LDK,1979/6,1,0,0,24,,,
1198,78.48,北海道札幌市中央区南八条西８,4.94,札幌市電「山鼻９条」徒歩2分,2LDK,1974/10,0,1,0,2,,,
1198,78.17,北海道札幌市北区百合が原９,7.57,ＪＲ札沼線「百合が原」徒歩8分,3LDK,1992/2,0,0,1,8,,,
1200,45.05,北海道札幌市中央区南九条西１０-１－４０,-,札幌市電「山鼻９条」徒歩9分,2LDK,1971/3,0,1,0,9,,,
1200,61.98,北海道札幌市豊平区月寒西一条１０,5.28,地下鉄東豊線「月寒中央」徒歩7分,3LDK,1981/6,1,0,0,7,,,
1200,48.6,北海道札幌市中央区南九条西１０,7.29,地下鉄南北線「さっぽろ」バス15分停歩1分,2LDK,1971/3,1,0,0,,15,1,
1200,67.65,北海道札幌市中央区南六条西９,4.35,札幌市電「資生館小学校前」徒歩6分,2LDK,1974/11,0,1,0,6,,,
1200,67.65,北海道札幌市中央区南六条西９,4.35,札幌市電「資生館小学校前」徒歩6分,3LDK,1974/11,0,1,0,6,,,
1200,83.36,北海道札幌市豊平区中の島一条６-6-22,7.56,札幌市電「幌南小学校前」徒歩7分,2LDK,1980/5,0,1,0,7,,,
1200,97.62,北海道札幌市北区新川四条２,11.48,ＪＲ札沼線「新川」徒歩2分,5LDK,1981/11,0,0,1,2,,,
1200,61.9,北海道札幌市豊平区月寒西一条１０,5.2,地下鉄東豊線「月寒中央」徒歩7分,3LDK,1981/6,1,0,0,7,,,
1200,50.32,北海道札幌市東区北二十二条東１６,8.89,地下鉄東豊線「元町」徒歩5分,2DK,1992/2,1,0,0,5,,,
1200,52.8,北海道札幌市中央区大通西１５,7.68,地下鉄東西線「西１８丁目」徒歩5分,3DK,1981/10,1,0,0,5,,,
1200,45.05,北海道札幌市中央区南九条西１０,-,札幌市電「山鼻９条」徒歩10分,2LDK,1971/3,0,1,0,10,,,
1220,61.98,北海道札幌市豊平区月寒西一条１０,5.28,地下鉄東豊線「月寒中央」徒歩7分,3LDK,1981/6,1,0,0,7,,,
1220,61.98,北海道札幌市豊平区月寒西一条１０,5.28,地下鉄東豊線「月寒中央」徒歩7分,3LDK,1981/6,1,0,0,7,,,
1230,71.37,北海道札幌市中央区南五条東１,4.2,地下鉄東豊線「豊水すすきの」徒歩4分,2LDK,1981/7,1,0,0,4,,,
1230,59.18,北海道札幌市豊平区平岸二条８-１－３３,5.66,地下鉄南北線「平岸」徒歩3分,2LDK,1986/9,1,0,0,3,,,
1230,59.18,北海道札幌市豊平区平岸二条８,5.66,地下鉄南北線「平岸」徒歩3分,2LDK,1986/9,1,0,0,3,,,
1230,85.81,北海道札幌市北区北三十四条西８,9.71,地下鉄南北線「北３４条」徒歩9分,3LDK,1977/12,1,0,0,9,,,
1230,59.18,北海道札幌市豊平区平岸二条８,5.66,地下鉄南北線「平岸」徒歩5分,2LDK,1986/9,1,0,0,5,,,
1230,78.46,北海道札幌市東区北十八条東２１-4-25,3.5,地下鉄東豊線「環状通東」徒歩11分,3LDK,1995/5,1,0,0,11,,,
1230,59.18,北海道札幌市豊平区平岸二条８,5.66,地下鉄南北線「平岸」徒歩3分,2LDK,1986/9,1,0,0,3,,,
1230,53.46,北海道札幌市白石区南郷通３丁目南,7.92,地下鉄東西線「白石」徒歩6分,2LDK,1987/11,1,0,0,6,,,
1240,85.21,北海道札幌市厚別区上野幌三条５,12.75,中央バス「上野幌ベニータウン」徒歩1分,4LDK,1993/9,0,0,0,1,,,
1240,79.22,北海道札幌市厚別区厚別南２,4.29,地下鉄東西線「ひばりが丘」徒歩8分,3LDK,1987/11,1,0,0,8,,,
1240,74.9,北海道札幌市白石区北郷一条３,9.75,ＪＲ函館本線「白石」徒歩7分,3LDK,1995/8,0,0,1,7,,,
1240,79.22,北海道札幌市厚別区厚別南２,4.29,地下鉄東西線「ひばりが丘」徒歩9分,3LDK,1987/11,1,0,0,9,,,
1240,79.22,北海道札幌市厚別区厚別南２,4.29,地下鉄東西線「ひばりが丘」徒歩8分,3LDK,1987/11,1,0,0,8,,,
1250,84.84,北海道札幌市手稲区稲穂三条６,-,ＪＲ函館本線「稲穂」徒歩9分,4LDK,1992/11,0,0,1,9,,,
1250,83.7,北海道札幌市豊平区中の島一条６,3.12,地下鉄南北線「中の島」徒歩13分,3LDK,1974/2,1,0,0,13,,,
1250,76.9,北海道札幌市西区発寒十条２,7.44,ＪＲ函館本線「発寒中央」徒歩5分,3LDK,1993/11,0,0,1,5,,,
1250,83.7,北海道札幌市豊平区中の島一条６,3.12,札幌市電「幌南小学校前」徒歩10分,3LDK,1974/2,0,1,0,10,,,
1250,83.7,北海道札幌市豊平区中の島一条６,3.12,地下鉄南北線「中の島」徒歩13分,3LDK,1974/2,1,0,0,13,,,
1250,58.99,北海道札幌市中央区南十条西１３,6.82,札幌市電「西線９条旭山公園通」徒歩5分,3LDK,1987/10,0,1,0,5,,,
1250,58.99,北海道札幌市中央区南十条西１３,6.82,札幌市電「西線９条旭山公園通」徒歩5分,3LDK,1987/10,0,1,0,5,,,
1250,58.99,北海道札幌市中央区南十条西１３,6.82,札幌市電「西線９条旭山公園通」徒歩7分,3LDK,1987/10,0,1,0,7,,,
1250,83.7,北海道札幌市豊平区中の島一条９,3.12,札幌市電「幌南小学校前」徒歩11分,3LDK,1974/2,0,1,0,11,,,
1250,71.21,北海道札幌市豊平区平岸六条１３-５－１,10.12,地下鉄南北線「南平岸」徒歩8分,3LDK,1995/11,1,0,0,8,,,
1250,83.7,北海道札幌市豊平区中の島一条６,-,地下鉄南北線「中の島」徒歩13分,3LDK,1974/2,1,0,0,13,,,
1250,49.28,北海道札幌市中央区北五条西１０-2-1,9.98,地下鉄南北線「さっぽろ」徒歩11分,2LDK,1990/12,1,0,0,11,,,
1250,58.99,北海道札幌市中央区南十条西１３,6.82,札幌市電「西線９条旭山公園通」徒歩5分,3DK,1987/10,0,1,0,5,,,
1250,58.99,北海道札幌市中央区南十条西１３,6.82,札幌市電「西線９条旭山公園通」徒歩5分,3LDK,1987/10,0,1,0,5,,,
1250,83.7,北海道札幌市豊平区中の島一条６,3.12,札幌市電「幌南小学校前」徒歩10分,3LDK,1974/2,0,1,0,10,,,
1250,82.23,北海道札幌市手稲区西宮の沢六条１-１６－１,-,地下鉄東西線「宮の沢」徒歩23分,3LDK,1992/12,1,0,0,23,,,
1250,82.23,北海道札幌市手稲区西宮の沢六条１-16-1,10.08,地下鉄東西線「宮の沢」徒歩23分,3LDK,1992/12,1,0,0,23,,,
1260,71.43,北海道札幌市北区篠路三条８,21.6,ＪＲ札沼線「篠路」徒歩3分,3LDK,1995/3,0,0,1,3,,,
1260,71.43,北海道札幌市北区篠路三条８,10.94,ＪＲ札沼線「篠路」徒歩3分,3LDK,1995/3,0,0,1,3,,,
1260,46.7,北海道札幌市中央区南三条西６-5,-,地下鉄南北線「すすきの」徒歩5分,1LDK,1980/11,1,0,0,5,,,
1280,79.3,北海道札幌市手稲区手稲本町二条３,7.84,ＪＲ函館本線「手稲」徒歩4分,4LDK,1987/3,0,0,1,4,,,
1280,68.57,北海道札幌市中央区北三条西１４,11.65,ＪＲ函館本線「桑園」徒歩11分,3DK,1991/5,0,0,1,11,,,
1280,56,北海道札幌市厚別区厚別中央四条４,7.84,ＪＲ函館本線「厚別」徒歩4分,2LDK,1996/3,0,0,1,4,,,
1280,78.45,北海道札幌市手稲区前田五条８-1-11,9.28,ＪＲ函館本線「手稲」徒歩14分,3LDK,1992/10,0,0,1,14,,,
1280,57.92,北海道札幌市豊平区平岸一条２,3.77,地下鉄南北線「中の島」徒歩7分,2LDK,1992/4,1,0,0,7,,,
1280,75.18,北海道札幌市中央区北五条西１５-1-2,9.2,ＪＲ函館本線「桑園」徒歩9分,3LDK,1978/9,0,0,1,9,,,
1280,85.43,北海道札幌市北区篠路六条８-5-1,12.75,ＪＲ札沼線「篠路」徒歩9分,4LDK,1995/8,0,0,1,9,,,
1280,62.73,北海道札幌市中央区南十四条西１３-３－１８,8.94,札幌市電「西線１４条」徒歩3分,3LDK,1998/10,0,1,0,3,,,
1280,64.8,北海道札幌市中央区北四条西２５,6.48,地下鉄東西線「西２８丁目」徒歩4分,2LDK+S（納戸）,1974/6,1,0,0,4,,,
1280,64.8,北海道札幌市中央区北四条西２５,6.48,地下鉄東西線「西２８丁目」徒歩4分,2LDK+S（納戸）,1974/6,1,0,0,4,,,
1280,64.8,北海道札幌市中央区北四条西２５-2-11,6.48,地下鉄東西線「西２８丁目」徒歩4分,2LDK+S（納戸）,1974/6,1,0,0,4,,,
1280,60.21,北海道札幌市中央区南十六条西４,4.76,地下鉄南北線「幌平橋」徒歩4分,1LDK,1986/8,1,0,0,4,,,
1280,64.8,北海道札幌市中央区北四条西２５,6.48,地下鉄東西線「西２８丁目」徒歩4分,2LDK,1974/6,1,0,0,4,,,
1280,61.98,北海道札幌市豊平区月寒西一条１０-３,5.28,地下鉄東豊線「月寒中央」徒歩7分,3LDK,1981/6,1,0,0,7,,,
1280,80.37,北海道札幌市中央区宮の森一条１６,6.23,地下鉄東西線「円山公園」バス7分停歩2分,4LDK,1986/10,1,0,0,,7,2,
1280,80.37,北海道札幌市中央区宮の森一条１６,6.23,地下鉄東西線「円山公園」バス7分停歩2分,4LDK,1986/10,1,0,0,,7,2,
1280,85.26,北海道札幌市白石区菊水元町一条１,9.54,ＪＲ函館本線「苗穂」徒歩20分,4LDK,1992/9,0,0,1,20,,,
1280,64.8,北海道札幌市中央区北四条西２５,6.48,地下鉄東西線「西２８丁目」徒歩4分,2LDK+S（納戸）,1974/6,1,0,0,4,,,
1280,55.27,北海道札幌市中央区南八条西７,6.38,地下鉄南北線「中島公園」徒歩4分,2LDK,1981/11,1,0,0,4,,,
1280,55.27,北海道札幌市中央区南八条西７,6.38,札幌市電「山鼻９条」徒歩1分,2LDK,1981/11,0,1,0,1,,,
1280,76.84,北海道札幌市清田区平岡公園東６,10.89,地下鉄東西線「新さっぽろ」バス16分停歩2分,3LDK,1996/9,1,0,0,,16,2,
1280,55.27,北海道札幌市中央区南八条西７,6.38,地下鉄南北線「中島公園」徒歩4分,2LDK,1981/11,1,0,0,4,,,
1280,79.72,北海道札幌市東区伏古八条５-3-10,-,地下鉄東豊線「元町」徒歩32分,3LDK,1992/3,1,0,0,32,,,
1280,55.27,北海道札幌市中央区南八条西７-１０３６－１,6.38,地下鉄南北線「中島公園」徒歩4分,2LDK,1981/11,1,0,0,4,,,
1280,55.27,北海道札幌市中央区南八条西７,6.38,札幌市電「山鼻９条」徒歩1分,2LDK,1981/11,0,1,0,1,,,
1280,64.8,北海道札幌市中央区北四条西２５,6.48,地下鉄東西線「西２８丁目」徒歩4分,2LDK+S（納戸）,1974/6,1,0,0,4,,,
1280,62.22,北海道札幌市中央区南六条西２６,-,地下鉄東西線「円山公園」徒歩12分,2LDK+S（納戸）,1973/12,1,0,0,12,,,
1280,78.47,北海道札幌市西区発寒十条２-8-26,13.04,ＪＲ函館本線「発寒中央」徒歩6分,3LDK,1991/9,0,0,1,6,,,
1280,75.18,北海道札幌市中央区北五条西１５,9.2,ＪＲ函館本線「桑園」徒歩9分,3LDK,1978/9,0,0,1,9,,,
1280,55.27,北海道札幌市中央区南八条西７,6.38,地下鉄南北線「中島公園」徒歩4分,2LDK,1981/11,1,0,0,4,,,
1280,93.47,北海道札幌市北区あいの里三条６,9.58,ＪＲ札沼線「あいの里教育大」徒歩8分,3LDK,1991/9,0,0,1,8,,,
1280,55.27,北海道札幌市中央区南八条西７,6.38,地下鉄南北線「中島公園」徒歩6分,2LDK,1981/11,1,0,0,6,,,
1280,81.9,北海道札幌市中央区円山西町１,8.73,地下鉄東西線「円山公園」徒歩20分,3LDK+S（納戸）,1982/11,1,0,0,20,,,
1280,71.21,北海道札幌市中央区宮の森二条６,5.28,地下鉄東西線「西２８丁目」徒歩7分,3LDK,1973/8,1,0,0,7,,,
1280,72.35,北海道札幌市厚別区厚別中央四条４,8.77,ＪＲ函館本線「厚別」徒歩3分,2LDK+S（納戸）,1994/6,0,0,1,3,,,
1280,67.72,北海道札幌市中央区伏見４,5.88,札幌市電「ロープウェイ入口」徒歩8分,3LDK,1987/11,0,1,0,8,,,
1280,55.27,北海道札幌市中央区南八条西７,6.38,札幌市電「山鼻９条」徒歩1分,2LDK,1981/11,0,1,0,1,,,
1280,98.64,北海道札幌市北区あいの里一条６,6.6,ＪＲ札沼線「あいの里教育大」徒歩1分,4LDK,1989/10,0,0,1,1,,,
1280,80.37,北海道札幌市中央区宮の森一条１６,6.23,地下鉄東西線「円山公園」バス7分停歩2分,4LDK,1986/10,1,0,0,,7,2,
1280,53.72,北海道札幌市中央区北一条西２３,3.2,地下鉄東西線「円山公園」徒歩6分,2LDK,1979/6,1,0,0,6,,,
1280,58.99,北海道札幌市中央区南十条西１３,6.82,札幌市電「西線９条旭山公園通」徒歩5分,3LDK,1987/10,0,1,0,5,,,
1280,58.99,北海道札幌市中央区南十条西１３-１－４１,6.82,札幌市電「西線９条旭山公園通」徒歩5分,3LDK,1987/10,0,1,0,5,,,
1280,79.72,北海道札幌市東区伏古八条５,-,地下鉄東豊線「元町」バス7分停歩5分,3LDK,1992/3,1,0,0,,7,5,
1280,55.27,北海道札幌市中央区南八条西７-1036-1,6.38,地下鉄南北線「中島公園」徒歩4分,2LDK,1981/11,1,0,0,4,,,
1280,93.55,北海道札幌市北区新川四条１３,15.69,地下鉄南北線「麻生」バス20分停歩2分,4LDK,1992/10,1,0,0,,20,2,
1280,85.26,北海道札幌市白石区菊水元町一条１-４－１,9.54,ＪＲ千歳線「苗穂」徒歩20分,4LDK,1992/9,0,0,1,20,,,
1280,93.47,北海道札幌市北区あいの里三条６,9.58,ＪＲ札沼線「あいの里教育大」徒歩10分,3LDK,1991/9,0,0,1,10,,,
1280,63.47,北海道札幌市中央区南九条西１１,-,札幌市電「西線９条旭山公園通」徒歩8分,2LDK,1974/9,0,1,0,8,,,
1280,78.75,北海道札幌市豊平区月寒東五条１５,7.49,地下鉄東西線「南郷１３丁目」徒歩10分,3LDK,1994/3,1,0,0,10,,,
1280,64.64,北海道札幌市中央区南五条西２２,8.82,地下鉄東西線「円山公園」徒歩10分,1LDK,1998/3,1,0,0,10,,,
1280,106.28,北海道札幌市豊平区月寒東四条１０,9.09,地下鉄東豊線「福住」徒歩15分,5LDK,1987/,1,0,0,15,,,
1280,62.22,北海道札幌市中央区南六条西２６,-,地下鉄東西線「円山公園」徒歩12分,2LDK+S（納戸）,1973/12,1,0,0,12,,,
1280,64.64,北海道札幌市中央区南五条西２２-１,-,地下鉄東西線「円山公園」徒歩10分,1LDK,1998/3,1,0,0,10,,,
1280,64.8,北海道札幌市中央区北四条西２５,6.48,地下鉄東西線「西２８丁目」徒歩4分,3LDK,1974/6,1,0,0,4,,,
1280,71.25,北海道札幌市豊平区西岡四条７-８－２,17.21,地下鉄東豊線「月寒中央」バス10分停歩1分,3LDK,1991/12,1,0,0,,10,1,
1280,64.8,北海道札幌市中央区北四条西２５-２－１１,6.48,地下鉄東西線「西２８丁目」徒歩4分,2LDK,1974/6,1,0,0,4,,,
1280,80.37,北海道札幌市中央区宮の森一条１６,6.23,地下鉄東西線「円山公園」バス7分停歩2分,4LDK,1986/10,1,0,0,,7,2,
1280,77.46,北海道札幌市中央区北五条西２９-1-1,-,地下鉄東西線「西２８丁目」徒歩2分,3LDK,1974/9,1,0,0,2,,,
1280,55.27,北海道札幌市中央区南八条西７,6.38,札幌市電「山鼻９条」徒歩1分,2LDK,1981/11,0,1,0,1,,,
1280,55.27,北海道札幌市中央区南八条西７,6.38,札幌市電「山鼻９条」徒歩1分,2LDK,1981/11,0,1,0,1,,,
1280,109.55,北海道札幌市南区川沿一条２,12.73,地下鉄南北線「真駒内」バス11分停歩6分,3LDK,1987/9,1,0,0,,11,6,
1280,65.61,北海道札幌市南区澄川二条２,9.72,地下鉄南北線「澄川」徒歩6分,3LDK,1985/11,1,0,0,6,,,
1280,85.61,北海道札幌市手稲区星置二条１-14-2,23.68,ＪＲ函館本線「稲穂」徒歩16分,4LDK,1993/3,0,0,1,16,,,
1290,80.01,北海道札幌市白石区菊水元町一条１,-,ＪＲバス「菊水元町2条2丁目」徒歩9分,3LDK,1997/5,0,0,1,9,,,
1290,68.62,北海道札幌市西区山の手二条７,7.25,地下鉄東西線「琴似」徒歩20分,3LDK,1979/6,1,0,0,20,,,
1290,55.05,北海道札幌市豊平区豊平一条１,11.89,地下鉄東西線「菊水」徒歩4分,2LDK,1984/10,1,0,0,4,,,
1290,55.05,北海道札幌市豊平区豊平一条１,11.89,地下鉄東西線「菊水」徒歩4分,2LDK,1984/10,1,0,0,4,,,
1290,55.05,北海道札幌市豊平区豊平一条１-１－１７,11.89,地下鉄東西線「菊水」徒歩4分,2LDK,1984/10,1,0,0,4,,,
1290,55.05,北海道札幌市豊平区豊平一条１,11.89,地下鉄東西線「菊水」徒歩4分,2LDK,1984/10,1,0,0,4,,,
1290,47.97,北海道札幌市中央区南一条西１７,5.16,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1981/11,1,0,0,2,,,
1290,47.97,北海道札幌市中央区南一条西１７,5.16,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1981/11,1,0,0,2,,,
1290,47.97,北海道札幌市中央区南一条西１７-１－７,5.16,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1981/11,1,0,0,2,,,
1290,76.3,北海道札幌市清田区平岡二条１,7.04,地下鉄東豊線「福住」バス15分停歩1分,3LDK,1990/3,1,0,0,,15,1,
1290,51.7,北海道札幌市中央区大通西１８,3.68,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1979/12,1,0,0,2,,,
1290,51.7,北海道札幌市中央区大通西１８,3.68,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1979/12,1,0,0,2,,,
1290,80.01,北海道札幌市白石区菊水元町一条１,-,地下鉄東西線「菊水」バス9分停歩9分,3LDK,1997/5,1,0,0,,9,9,
1290,80.01,北海道札幌市白石区菊水元町一条１,-,地下鉄東西線「菊水」バス9分停歩9分,3LDK,1997/5,1,0,0,,9,9,
1290,55.05,北海道札幌市豊平区豊平一条１,11.89,地下鉄東西線「菊水」徒歩5分,2LDK,1984/11,1,0,0,5,,,
1290,68.62,北海道札幌市西区山の手二条７,7.25,ＪＲバス「山の手高校前」徒歩1分,3LDK,1979/6,0,0,1,1,,,
1290,79.22,北海道札幌市厚別区厚別南２-19-1,4.29,地下鉄東西線「ひばりが丘」徒歩8分,3LDK,1987/11,1,0,0,8,,,
1290,55.05,北海道札幌市豊平区豊平一条１,11.89,地下鉄東西線「菊水」徒歩4分,2LDK,1984/10,1,0,0,4,,,
1290,70.88,北海道札幌市白石区北郷四条３,14.21,ＪＲ函館本線「白石」バス9分停歩1分,3LDK,1991/10,0,0,1,,9,1,
1290,74.58,北海道札幌市清田区真栄一条１,8.6,地下鉄東豊線「福住」バス13分停歩4分,3LDK,1994/6,1,0,0,,13,4,
1290,47.97,北海道札幌市中央区南一条西１７-1-7,6.76,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1981/11,1,0,0,2,,,
1290,71.37,北海道札幌市中央区南五条東１,4.2,地下鉄東豊線「豊水すすきの」徒歩6分,2LDK,1981/7,1,0,0,6,,,
1290,80.01,北海道札幌市白石区菊水元町一条１,-,ＪＲ千歳線「苗穂」徒歩19分,3LDK,1997/5,0,0,1,19,,,
1290,78.43,北海道札幌市西区発寒五条４,7.66,ＪＲ函館本線「発寒中央」徒歩6分,4LDK,1989/7,0,0,1,6,,,
1290,47.97,北海道札幌市中央区南一条西１７,5.16,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1981/11,1,0,0,2,,,
1290,70.88,北海道札幌市白石区北郷四条３,14.21,ＪＲ函館本線「白石」徒歩18分,3LDK,1991/10,0,0,1,18,,,
1290,70.88,北海道札幌市白石区北郷四条３-３－５,14.21,ＪＲ函館本線「白石」バス7分停歩1分,3LDK,1991/10,0,0,1,,7,1,
1290,91.33,北海道札幌市豊平区平岸三条１８,7.19,地下鉄南北線「澄川」徒歩4分,5LDK,1980/2,1,0,0,4,,,
1290,55.05,北海道札幌市豊平区豊平一条１,11.89,地下鉄東西線「菊水」徒歩4分,2LDK,1984/10,1,0,0,4,,,
1290,80.01,北海道札幌市白石区菊水元町一条１-１－２６,25.6,地下鉄東西線「菊水」バス9分停歩9分,3LDK,1997/5,1,0,0,,9,9,
1290,70.88,北海道札幌市白石区北郷四条３,14.21,JRバス「北郷5条3丁目」徒歩1分,3LDK,1991/10,0,0,0,1,,,
1290,70.88,北海道札幌市白石区北郷四条３,14.21,ＪＲ函館本線「白石」徒歩18分,3LDK,1991/10,0,0,1,18,,,
1290,70.88,北海道札幌市白石区北郷四条３,14.21,ＪＲバス「北郷5条3丁目」徒歩1分,3LDK,1991/10,0,0,1,1,,,
1290,91.33,北海道札幌市豊平区平岸三条１８,7.19,地下鉄南北線「澄川」徒歩4分,5LDK,1980/2,1,0,0,4,,,
1298,72.59,北海道札幌市中央区北六条西２５-1-1,10.72,地下鉄東西線「西２８丁目」徒歩5分,3LDK,1982/6,1,0,0,5,,,
1298,67.87,北海道札幌市豊平区平岸二条９,22.02,地下鉄南北線「平岸」徒歩4分,3LDK,1983/9,1,0,0,4,,,
1298,82.05,北海道札幌市中央区南八条西８,4.94,地下鉄南北線「中島公園」徒歩7分,3LDK,1974/10,1,0,0,7,,,
1300,79.2,北海道札幌市中央区宮の森四条１１,3.6,ＪＲバス「宮の森４条１０丁目」徒歩2分,2LDK,1974/1,0,0,1,2,,,
1300,79.2,北海道札幌市中央区宮の森四条１１,3.6,地下鉄東西線「西２８丁目」バス7分停歩2分,2LDK,1974/1,1,0,0,,7,2,
1300,79.2,北海道札幌市中央区宮の森四条１１,-,地下鉄東西線「西２８丁目」バス7分停歩2分,3LDK,1974/1,1,0,0,,7,2,
1320,49.48,北海道札幌市中央区大通西１８,-,地下鉄東西線「西１８丁目」徒歩2分,2DK,1979/12,1,0,0,2,,,
1320,49.48,北海道札幌市中央区大通西１８-１－４５,-,地下鉄東西線「西１８丁目」徒歩3分,2DK,1979/12,1,0,0,3,,,
1320,49.48,北海道札幌市中央区大通西１８,-,地下鉄東西線「西１８丁目」徒歩2分,2DK,1979/12,1,0,0,2,,,
1320,49.48,北海道札幌市中央区大通西１８-１－４５,-,地下鉄東西線「西１８丁目」徒歩2分,2DK,1979/12,1,0,0,2,,,
1320,49.48,北海道札幌市中央区大通西１８,-,地下鉄東西線「西１８丁目」徒歩2分,2LDK,1979/12,1,0,0,2,,,
1330,64.74,北海道札幌市厚別区厚別南２-３２－２３,7.69,地下鉄東西線「ひばりが丘」徒歩4分,3LDK,1984/3,1,0,0,4,,,
1330,64.08,北海道札幌市南区澄川三条１,6.84,地下鉄南北線「澄川」徒歩5分,2LDK,1983/12,1,0,0,5,,,
1330,64.08,北海道札幌市南区澄川三条１,6.84,地下鉄南北線「澄川」徒歩5分,2LDK,1983/12,1,0,0,5,,,
